"Freq [GHz]","dB(S(1,1)) []"
1.075,-20.6705069926823
1.076,-20.7414264091721
1.077,-20.8153216985792
1.078,-20.892272216565
1.079,-20.9723616417896
1.08,-21.0556782903377
1.081,-21.1423154580357
1.082,-21.2323717937711
1.083,-21.3259517073329
1.084,-21.423165815759
1.085,-21.5241314327239
1.086,-21.6289731061237
1.087,-21.737823209752
1.088,-21.8508225958084
1.089,-21.9681213159839
1.09,-22.0898794200305
1.091,-22.2162678421055
1.092,-22.3474693868011
1.093,-22.4836798286983
1.094,-22.6251091415723
1.095,-22.7719828761149
1.096,-22.9245437083083
1.097,-23.0830531845413
1.098,-23.2477936943167
1.099,-23.4190707071996
1.1,-23.5972153177259
1.101,-23.7825871506614
1.102,-23.9755776897076
1.103,-24.1766141060168
1.104,-24.3861636794452
1.105,-24.6047389262755
1.106,-24.8329035734289
1.107,-25.0712795526823
1.108,-25.3205552313609
1.109,-25.5814951515439
1.11,-25.8549516223122
1.111,-26.1418786050057
1.112,-26.4433484583672
1.113,-26.7605722809987
1.114,-27.0949248203852
1.115,-27.4479752368079
1.116,-27.8215254555062
1.117,-28.2176584703612
1.118,-28.6387998682792
1.119,-29.0877971693473
1.12,-29.5680235562916
1.121,-30.0835155829433
1.122,-30.6391591608465
1.123,-31.2409456765113
1.124,-31.8963325800282
1.125,-32.6147641610956
1.126,-33.4084463066752
1.127,-34.2935401036059
1.128,-35.2920793143653
1.129,-36.4352121765502
1.13,-37.7690436848707
1.131,-39.3660687410347
1.132,-41.350171744031
1.133,-43.9607141021355
1.134,-47.764116741566
1.135,-54.8085501231752
1.136,-66.359177806998
1.137,-51.0452273321153
1.138,-45.7601622273504
1.139,-42.4689642873941
1.14,-40.065861236384
1.141,-38.1679511398413
1.142,-36.5966176038717
1.143,-35.2539290075977
1.144,-34.080343599259
1.145,-33.0369433808607
1.146,-32.0968875355009
1.147,-31.2408803053844
1.148,-30.4545836314062
1.149,-29.7270518250147
1.15,-29.0497390915102
1.151,-28.4158454022369
1.152,-27.819871090278
1.153,-27.2573050207342
1.154,-26.7244009736332
1.155,-26.2180138912034
1.156,-25.7354777314791
1.157,-25.2745128537501
1.158,-24.8331547615637
1.159,-24.4096985526976
1.16,-24.0026550962457
1.161,-23.6107160859353
1.162,-23.2327258959638
1.163,-22.8676587097454
1.164,-22.514599778766
1.165,-22.1727299476652
1.166,-21.8413127853844
1.167,-21.5196838128343
1.168,-21.2072414301016
1.169,-20.903439231238
1.17,-20.6077794594964
1.171,-20.3198074057575
1.172,-20.0391065915752
1.173,-19.7652946085293
1.174,-19.4980195094017
1.175,-19.2369566656021
1.176,-18.9818060203517
1.177,-18.7322896792736
1.178,-18.4881497898208
1.179,-18.2491466689523
1.18,-18.0150571449542
1.181,-17.7856730846604
1.182,-17.5608000817162
1.183,-17.3402562851929
1.184,-17.1238713508872
1.185,-16.9114855001869
1.186,-16.7029486735082
1.187,-16.4981197671102
1.188,-16.2968659436009
1.189,-16.0990620077421
1.19,-15.9045898402498
1.191,-15.7133378832264
1.192,-15.5252006716544
1.193,-15.3400784060754
1.194,-15.1578765621654
1.195,-14.9785055334313
1.196,-14.8018803036948
1.197,-14.627920146416
1.198,-14.4565483482402
1.199,-14.2876919544492
1.2,-14.121281534247
1.201,-13.957250964038
1.202,-13.7955372270511
1.203,-13.6360802278344
1.204,-13.4788226203015
1.205,-13.3237096481403
1.206,-13.1706889965177
1.207,-13.0197106541202
1.208,-12.8707267846598
1.209,-12.7236916070642
1.21,-12.5785612836397
1.211,-12.4352938155663
1.212,-12.2938489451395
1.213,-12.1541880642313
1.214,-12.0162741284862
1.215,-11.8800715768165
1.216,-11.7455462557936
1.217,-11.612665348572
1.218,-11.4813973080122
1.219,-11.3517117936966
1.22,-11.2235796125593
1.221,-11.0969726628735
1.222,-10.971863881362
1.223,-10.8482271932134
1.224,-10.7260374648084
