Theta [deg],dB(GainPhi) [] - Freq='0.7GHz' Phi='0deg',dB(GainPhi) [] - Freq='0.7GHz' Phi='90deg'
-180,-19.37010404,-36.68845967
-179,-19.36586147,-36.96028419
-178,-19.39754354,-37.28753885
-177,-19.46543978,-37.6718217
-176,-19.5700693,-38.11539484
-175,-19.71219419,-38.62130173
-174,-19.8928395,-39.19352905
-173,-20.11332102,-39.83722754
-172,-20.37528277,-40.55901194
-171,-20.68074689,-41.36736639
-170,-21.03217943,-42.27318663
-169,-21.43257729,-43.29048306
-168,-21.88558342,-44.4372155
-167,-22.39564076,-45.73601576
-166,-22.96819984,-47.2137853
-165,-23.61000187,-48.89647385
-164,-24.32946995,-50.78619351
-163,-25.13725582,-52.78088734
-162,-26.04701193,-54.47085551
-161,-27.07648405,-55.0526433
-160,-28.24903007,-54.2128256
-159,-29.59557373,-52.6559379
-158,-31.1563986,-51.03682888
-157,-32.97935097,-49.58905587
-156,-35.09835584,-48.34891046
-155,-37.42410604,-47.29712881
-154,-39.36792089,-46.40495036
-153,-39.63856708,-45.64611747
-152,-38.1140508,-44.99906837
-151,-36.08490418,-44.44659078
-150,-34.2314468,-43.97498286
-149,-32.67374572,-43.57326062
-148,-31.38330515,-43.23252194
-147,-30.31199537,-42.94546147
-146,-29.41835203,-42.70600609
-145,-28.67035296,-42.50904082
-144,-28.0437554,-42.35020141
-143,-27.52010372,-42.22571561
-142,-27.08515176,-42.1322803
-141,-26.72772013,-42.0669651
-140,-26.43888494,-42.02713557
-139,-26.21139969,-42.01039122
-138,-26.03927767,-42.01451481
-137,-25.91748447,-42.03743012
-136,-25.84170646,-42.07716651
-135,-25.80817158,-42.13182887
-134,-25.81350637,-42.19957207
-133,-25.85461766,-42.27857928
-132,-25.92859073,-42.36704405
-131,-26.03259785,-42.46315603
-130,-26.16381309,-42.56509066
-129,-26.31933027,-42.67100302
-128,-26.4960827,-42.77902666
-127,-26.69076466,-42.88727766
-126,-26.89975668,-42.99386466
-125,-27.11905891,-43.09690509
-124,-27.34424023,-43.19454769
-123,-27.57041356,-43.28500105
-122,-27.79225137,-43.36656707
-121,-28.00405656,-43.43767801
-120,-28.19990275,-43.49693493
-119,-28.3738515,-43.54314497
-118,-28.52024175,-43.57535461
-117,-28.63402913,-43.59287609
-116,-28.71113385,-43.59530476
-115,-28.74874214,-43.58252551
-114,-28.74550531,-43.55470777
-113,-28.70159536,-43.51228943
-112,-28.61860538,-43.45595118
-111,-28.49931546,-43.38658329
-110,-28.34737094,-43.30524778
-109,-28.16693008,-43.21313847
-108,-27.9623333,-43.11154171
-107,-27.73782984,-43.00179973
-106,-27.49737864,-42.88527833
-105,-27.24452399,-42.76333969
-104,-26.98233551,-42.63732074
-103,-26.71339744,-42.50851706
-102,-26.43983175,-42.37817177
-101,-26.16334133,-42.24746891
-100,-25.88526309,-42.11753056
-99,-25.60662342,-41.98941694
-98,-25.32819152,-41.86412888
-97,-25.05052777,-41.74261202
-96,-24.77402607,-41.62576221
-95,-24.49894969,-41.51443182
-94,-24.22546106,-41.40943656
-93,-23.95364603,-41.31156256
-92,-23.68353337,-41.22157371
-91,-23.41511024,-41.14021894
-90,-23.1483346,-41.0682396
-89,-22.88314496,-41.00637672
-88,-22.61946844,-40.95537825
-87,-22.35722742,-40.91600624
-86,-22.09634532,-40.88904396
-85,-21.83675192,-40.87530298
-84,-21.57838835,-40.87563009
-83,-21.32121195,-40.8909142
-82,-21.06520106,-40.92209295
-81,-20.81035983,-40.97015904
-80,-20.55672271,-41.03616599
-79,-20.30435882,-41.121233
-78,-20.05337562,-41.22654839
-77,-19.80392206,-41.35337083
-76,-19.55619059,-41.50302695
-75,-19.31041806,-41.67690362
-74,-19.06688513,-41.87643169
-73,-18.82591413,-42.10305691
-72,-18.58786497,-42.35819092
-71,-18.35312928,-42.6431322
-70,-18.12212235,-42.95894106
-69,-17.89527307,-43.30624567
