Theta [deg],dB(GainPhi) [] - Freq='0.7GHz' Phi='0deg',dB(GainPhi) [] - Freq='0.7GHz' Phi='90deg'
-68,-17.67301169,-43.68494558
-67,-17.45575532,-44.0937661
-66,-17.24389122,-44.5296044
-65,-17.03775776,-44.98660495
-64,-16.8376229,-45.45493096
-63,-16.64366029,-45.91930766
-62,-16.45592274,-46.35767411
-61,-16.27431314,-46.74074081
-60,-16.09855308,-47.03376395
-59,-15.9281495,-47.20180771
-58,-15.76236022,-47.21824373
-57,-15.60015996,-47.07330953
-56,-15.440209,-46.77780718
-55,-15.28082799,-46.3594434
-54,-15.1199835,-45.85428763
-53,-14.95529008,-45.29826585
-52,-14.78403569,-44.72188392
-51,-14.60323726,-44.14844334
-50,-14.40973219,-43.59448148
-49,-14.20030819,-43.07112383
-48,-13.97186881,-42.58554809
-47,-13.72162469,-42.14222209
-46,-13.44729309,-41.743839
-45,-13.14728187,-41.39198298
-44,-12.82083217,-41.08758822
-43,-12.46809752,-40.83125083
-42,-12.09014624,-40.62344093
-41,-11.68888697,-40.464649
-40,-11.26693009,-40.35549062
-39,-10.82740696,-40.29678625
-38,-10.3737729,-40.28962766
-37,-9.909617573,-40.33543931
-36,-9.438500571,-40.4360411
-35,-8.963822194,-40.59371723
-34,-8.488732317,-40.81129522
-33,-8.016074878,-41.0922381
-32,-7.548362304,-41.44075011
-31,-7.087772952,-41.86189227
-30,-6.63616473,-42.36169204
-29,-6.195098987,-42.94720619
-28,-5.765869978,-43.62643577
-27,-5.349536448,-44.40785521
-26,-4.94695298,-45.29900146
-25,-4.558799617,-46.30285531
-24,-4.185608926,-47.40924301
-23,-3.827790132,-48.57602496
-22,-3.485650241,-49.69464027
-21,-3.159412283,-50.5541651
-20,-2.849230887,-50.88315631
-19,-2.555205465,-50.54636411
-18,-2.277391296,-49.68666538
-17,-2.01580878,-48.57611227
-16,-1.770451131,-47.42268764
-15,-1.541290736,-46.3325503
-14,-1.328284391,-45.3466605
-13,-1.13137758,-44.47477071
-12,-0.950507976,-43.71382595
-11,-0.785608264,-43.0563401
-10,-0.636608422,-42.49390382
-9,-0.503437539,-42.01853398
-8,-0.386025256,-41.62310019
-7,-0.284302888,-41.30136599
-6,-0.1982043,-41.04787344
-5,-0.12766655,-40.85776489
-4,-0.072630379,-40.72657621
-3,-0.033040532,-40.65000933
-2,-0.008845976,-40.62367961
-1,0,-40.64282912
0,-0.006460234,-40.7019969
1,-0.028188574,-40.79464388
2,-0.065151038,-40.91274592
3,-0.117317525,-41.0463983
4,-0.1846615,-41.18352314
5,-0.267159568,-41.30983318
6,-0.364790934,-41.40925856
7,-0.477536722,-41.46503518
8,-0.605379128,-41.46151202
9,-0.748300367,-41.38643181
10,-0.906281375,-41.2330782
11,-1.079300213,-41.00151887
12,-1.267330117,-40.6984279
13,-1.470337114,-40.33556016
14,-1.688277144,-39.92749062
15,-1.921092567,-39.48938346
16,-2.168707972,-39.03532168
17,-2.431025168,-38.57736148
18,-2.70791721,-38.12520651
19,-2.999221342,-37.68629155
20,-3.304730697,-37.26607701
21,-3.624184614,-36.86841411
22,-3.95725743,-36.49590037
23,-4.303545649,-36.15018838
24,-4.662553427,-35.83223722
25,-5.033676403,-35.54250899
26,-5.416184043,-35.28111834
27,-5.809200853,-35.04794415
28,-6.211687084,-34.84271192
29,-6.622419906,-34.66505393
30,-7.039976491,-34.51455281
31,-7.462720933,-34.39077283
32,-7.888797521,-34.29328229
33,-8.316133417,-34.22166929
34,-8.742454092,-34.17555273
35,-9.165314956,-34.15458989
36,-9.582151985,-34.15848154
37,-9.990352896,-34.18697514
38,-10.38734816,-34.23986693
39,-10.77071818,-34.31700296
40,-11.13830948,-34.41827968
41,-11.48834959,-34.54364395
42,-11.8195482,-34.69309294
43,-12.13117209,-34.86667386
44,-12.42308354,-35.0644837
45,-12.69573643,-35.28666902
46,-12.95013033,-35.53342589
47,-13.18772817,-35.80500006
48,-13.41034818,-36.10168745
49,-13.62004248,-36.42383493
50,-13.81897491,-36.77184164
51,-14.00930848,-37.14616079
52,-14.1931096,-37.54730219
53,-14.37227283,-37.97583554
54,-14.54846714,-38.43239479
55,-14.72310218,-38.91768367
56,-14.89731217,-39.43248283
57,-15.07195419,-39.97765881
58,-15.24761784,-40.55417558
59,-15.42464351,-41.16310893
60,-15.60314719,-41.80566486
61,-15.78304976,-42.48320259
62,-15.96410966,-43.19726347
63,-16.1459578,-43.94960676
64,-16.32813356,-44.7422531
65,-16.51012135,-45.5775356
66,-16.6913864,-46.45815582
67,-16.8714091,-47.3872365
68,-17.04971653,-48.36835071
69,-17.2259103,-49.40548059
70,-17.39968955,-50.50280379
71,-17.57086831,-51.66408749
72,-17.73938664,-52.89122418
73,-17.90531534,-54.18094799
74,-18.06885439,-55.51787988
75,-18.2303257,-56.86097983
76,-18.39016101,-58.12162384
77,-18.54888619,-59.14369555
78,-18.70710302,-59.72819305
79,-18.86546992,-59.74577188
80,-19.02468268,-59.24753292
81,-19.1854562,-58.41730964
82,-19.34850812,-57.43782461
83,-19.51454476,-56.42644239
84,-19.68424976,-55.44211194
85,-19.85827556,-54.50919522
86,-20.03723758,-53.63495997
87,-20.22171101,-52.81914742
88,-20.41222987,-52.05862002
89,-20.60928815,-51.34947076
90,-20.81334254,-50.68791448
91,-21.02481664,-50.07061722
92,-21.24410602,-49.4947764
93,-21.47158405,-48.95809807
94,-21.70760806,-48.4587381
95,-21.9525254,-47.99523678
96,-22.20667915,-47.56645845
97,-22.47041281,-47.17153963
98,-22.74407362,-46.80984572
99,-23.02801359,-46.48093428
100,-23.32258735,-46.18452295
101,-23.62814563,-45.92045926
102,-23.94502272,-45.68868982
103,-24.27351562,-45.48922605
104,-24.61385225,-45.32210299
105,-24.96614483,-45.18732732
106,-25.33032371,-45.08480935
107,-25.70604572,-45.01427264
108,-26.09256986,-44.9751331
109,-26.4885927,-44.96633758
110,-26.89203628,-44.98615092
111,-27.29978522,-45.0318807
112,-27.70737894,-45.09953408
113,-28.10868348,-45.18341403
114,-28.49559972,-45.27569078
115,-28.85791068,-45.3660333
116,-29.18342217,-45.44145763
117,-29.45857932,-45.48662429
118,-29.66969544,-45.48484437
119,-29.80475811,-45.41994154
120,-29.8554905,-45.27879705
121,-29.81907603,-45.05395053
122,-29.69892043,-44.74533085
123,-29.50414302,-44.36038199
124,-29.24800423,-43.91252812
125,-28.94585735,-43.41864136
126,-28.61325036,-42.89644574
127,-28.26456468,-42.36254487
128,-27.91227909,-41.83130587
129,-27.5667469,-41.31448426
130,-27.23630577,-40.82133594
131,-26.92755699,-40.35897529
132,-26.64570081,-39.93281234
133,-26.39486305,-39.54697559
134,-26.17838322,-39.20468002
135,-25.99905565,-38.9085308
136,-25.85932611,-38.66076834
137,-25.76145077,-38.46346639
138,-25.70762572,-38.31869645
139,-25.7000942,-38.22867118
140,-25.74123748,-38.19587887
141,-25.8336529,-38.22322062
142,-25.98021957,-38.31416268
143,-26.18414781,-38.4729184
144,-26.44899976,-38.70467834
145,-26.77865461,-39.01591424
146,-27.17716325,-39.41479456
147,-27.64838447,-39.9117682
148,-28.19519235,-40.52040466
149,-28.817855,-41.25862789
150,-29.51085845,-42.15055188
151,-30.2570009,-43.22919523
152,-31.01742765,-44.54023855
153,-31.7182145,-46.14568053
154,-32.24233127,-48.11822428
155,-32.45055459,-50.4724027
156,-32.24859047,-52.78238002
157,-31.65397191,-53.39692234
158,-30.78226141,-51.5296375
159,-29.77083032,-48.96945258
160,-28.72411737,-46.68824619
161,-27.70412054,-44.79910742
162,-26.74175806,-43.23957301
163,-25.84966064,-41.94009327
164,-25.03086625,-40.84726404
165,-24.28379295,-39.92235743
166,-23.60486883,-39.13726851
167,-22.98986149,-38.47128804
168,-22.43452316,-37.90887948
169,-21.93488464,-37.43818908
170,-21.48737258,-37.05004298
171,-21.08884009,-36.73726273
172,-20.73655671,-36.49419064
173,-20.42818143,-36.31635605
174,-20.16173041,-36.20023806
175,-19.93554521,-36.14309626
176,-19.74826419,-36.14285069
177,-19.59879822,-36.19799861
178,-19.48631092,-36.30756028
179,-19.41020347,-36.47104855
180,-19.37010404,-36.68845967
