Theta [deg],dB(GainPhi) [] - Freq='0.7GHz' Phi='0deg',dB(GainPhi) [] - Freq='0.7GHz' Phi='90deg'
-43,-8.373503813,-45.41232702
-42,-8.051616627,-45.37225226
-41,-7.72975137,-45.37358919
-40,-7.4084556,-45.41751093
-39,-7.088301165,-45.50542727
-38,-6.769875349,-45.63901383
-37,-6.45377246,-45.82024404
-36,-6.14058607,-46.05142333
-35,-5.83090208,-46.33522297
-34,-5.525292719,-46.67470798
-33,-5.224311511,-47.07334783
-32,-4.928489233,-47.53498681
-31,-4.638330812,-48.06372997
-30,-4.354313094,-48.66365804
-29,-4.076883415,-49.3382059
-28,-3.806458858,-50.08888952
-27,-3.543426109,-50.91280459
-26,-3.288141803,-51.79792606
-25,-3.040933265,-52.71492502
-24,-2.802099556,-53.60510475
-23,-2.571912752,-54.36932906
-22,-2.350619372,-54.8755039
-21,-2.138441912,-55.00806935
-20,-1.935580419,-54.74147858
-19,-1.742214076,-54.1600488
-18,-1.558502759,-53.39835246
-17,-1.384588547,-52.57425573
-16,-1.220597155,-51.76469641
-15,-1.06663929,-51.01158859
-14,-0.922811911,-50.33466105
-13,-0.789199388,-49.74150442
-12,-0.665874569,-49.23369587
-11,-0.552899735,-48.81017033
-10,-0.450327468,-48.46899327
-9,-0.358201411,-48.20827647
-8,-0.276556942,-48.02665479
-7,-0.205421762,-47.92354942
-6,-0.144816396,-47.89933861
-5,-0.094754614,-47.95550332
-4,-0.055243781,-48.09478798
-3,-0.026285141,-48.32140376
-2,-0.007874023,-48.64129453
-1,0,-49.06247627
0,-0.002646975,-49.59543636
1,-0.015793216,-50.25350195
2,-0.039411335,-51.05285792
3,-0.073468206,-52.01121312
4,-0.117924831,-53.14210088
5,-0.172736152,-54.43606868
6,-0.237850798,-55.80665566
7,-0.313210778,-56.97346503
8,-0.39875111,-57.39698573
9,-0.49439939,-56.70198782
10,-0.600075284,-55.20313402
11,-0.715689964,-53.45273905
12,-0.841145459,-51.75754828
13,-0.976333946,-50.21607895
14,-1.121136958,-48.8408414
15,-1.275424525,-47.61789527
16,-1.439054246,-46.52794176
17,-1.611870292,-45.55279627
18,-1.793702365,-44.67695463
19,-1.984364604,-43.88762405
20,-2.183654471,-43.17434115
21,-2.391351637,-42.52853771
22,-2.607216885,-41.94315889
23,-2.830991082,-41.4123538
24,-3.062394246,-40.93123212
25,-3.301124765,-40.49567487
26,-3.546858833,-40.10218726
27,-3.799250141,-39.74778393
28,-4.057929924,-39.42989888
29,-4.322507415,-39.14631427
30,-4.592570793,-38.89510368
31,-4.867688701,-38.67458656
32,-5.147412388,-38.4832914
33,-5.431278549,-38.31992564
34,-5.718812899,-38.18335096
35,-6.009534485,-38.0725629
36,-6.302960729,-37.98667376
37,-6.598613154,-37.92489841
38,-6.896023683,-37.88654215
39,-7.194741384,-37.87099057
40,-7.494339466,-37.87770077
41,-7.794422306,-37.90619389
42,-8.094632241,-37.95604869
43,-8.394655853,-38.02689594
44,-8.694229445,-38.11841361
45,-8.993143459,-38.23032266
46,-9.291245561,-38.36238337
47,-9.58844223,-38.51439216
48,-9.884698703,-38.68617881
49,-10.18003723,-38.87760404
50,-10.47453367,-39.08855737
51,-10.7683125,-39.31895533
52,-11.06154049,-39.56873981
53,-11.35441915,-39.8378767
54,-11.64717638,-40.12635454
55,-11.94005743,-40.43418339
56,-12.23331566,-40.76139356
57,-12.52720324,-41.10803433
58,-12.82196212,-41.47417242
59,-13.11781551,-41.85988989
60,-13.41496001,-42.26528149
61,-13.71355862,-42.69045079
62,-14.01373466,-43.13550479
63,-14.31556677,-43.60054613
64,-14.619085,-44.0856621
65,-14.92426809,-44.59090893
66,-15.23104184,-45.11628978
67,-15.53927877,-45.6617237
68,-15.8487989,-46.22700254
69,-16.15937174,-46.81173129
70,-16.47071945,-47.41524653
71,-16.78252114,-48.03650583
72,-17.09441825,-48.6739405
73,-17.40602092,-49.32526318
74,-17.71691523,-49.98722432
75,-18.02667121,-50.65531756
76,-18.33485129,-51.32344875
77,-18.64101914,-51.98360992
78,-18.94474846,-52.62564223
79,-19.24563142,-53.23722663
80,-19.54328654,-53.80428821
81,-19.83736556,-54.31199533
82,-20.12755896,-54.7464155
83,-20.41360003,-55.09662807
84,-20.695267,-55.35677021
85,-20.97238329,-55.52732207
86,-21.24481574,-55.61512278
87,-21.51247075,-55.63211302
88,-21.77528857,-55.59330704
89,-22.03323578,-55.51468811
90,-22.2862963,-55.411555
91,-22.53446113,-55.29752362
92,-22.77771722,-55.18412386
93,-23.01603565,-55.08081041
94,-23.24935962,-54.99519903
95,-23.47759246,-54.93338583
96,-23.70058608,-54.90026012
97,-23.91813006,-54.89976133
98,-24.12994196,-54.93505308
99,-24.33565893,-55.00859519
100,-24.53483148,-55.12208996
101,-24.7269195,-55.27626529
102,-24.91129146,-55.47043388
103,-25.08722721,-55.70173919
104,-25.2539253,-55.96397343
105,-25.41051525,-56.24586602
106,-25.55607565,-56.52887267
107,-25.68965819,-56.78490143
108,-25.81031803,-56.97525471
109,-25.91714976,-57.05315423
110,-26.00932822,-56.97228203
111,-26.08615254,-56.70063433
112,-26.14709096,-56.23303361
113,-26.1918239,-55.59344582
114,-26.22028213,-54.82525201
115,-26.23267708,-53.97682649
116,-26.22952093,-53.09074658
117,-26.21163469,-52.19934231
118,-26.18014385,-51.32480928
119,-26.13646208,-50.48126929
120,-26.08226484,-49.67710788
121,-26.0194553,-48.91690929
122,-25.95012583,-48.20285896
123,-25.87651813,-47.53569242
124,-25.80098481,-46.91531287
125,-25.72595519,-46.34118405
126,-25.65390681,-45.81257638
127,-25.58734405,-45.32871981
128,-25.52878452,-44.88889808
129,-25.48075332,-44.49250699
130,-25.44578535,-44.13909095
131,-25.4264354,-43.82836723
132,-25.4252961,-43.56024376
133,-25.44502399,-43.33483471
134,-25.48837418,-43.15247658
135,-25.55824498,-43.01374734
136,-25.65773436,-42.91949043
137,-25.79021128,-42.87084595
138,-25.95940665,-42.86929147
139,-26.16953064,-42.91669572
140,-26.42542671,-43.0153895
141,-26.73277794,-43.16825987
142,-27.0983895,-43.37887638
143,-27.53058557,-43.65166225
144,-28.03978253,-43.99212966
145,-28.63934388,-44.40720935
146,-29.34690323,-44.9057216
147,-30.18650325,-45.4990665
148,-31.19224089,-46.20226471
149,-32.41490127,-47.03558037
150,-33.93508631,-48.02715097
151,-35.89226461,-49.21744046
152,-38.55987189,-50.6671444
153,-42.58889151,-52.47180616
154,-49.97114699,-54.78843042
155,-50.43382987,-57.86449201
156,-42.49625378,-61.76418043
157,-38.08845409,-63.42347995
158,-35.10363674,-59.91206841
159,-32.85294097,-56.26839432
160,-31.0512063,-53.51380278
161,-29.55440824,-51.39778685
162,-28.27994741,-49.71391041
163,-27.17614501,-48.33672368
164,-26.20856126,-47.18859799
165,-25.35312264,-46.21911171
166,-24.59236367,-45.39397
167,-23.91323175,-44.68891602
168,-23.30573567,-44.08622763
169,-22.76207696,-43.57260621
170,-22.27607131,-43.13785039
171,-21.84275145,-42.77399215
172,-21.45808757,-42.4747162
173,-21.11878619,-42.23495921
174,-20.82214284,-42.0506268
175,-20.56593254,-41.91838985
176,-20.34832732,-41.83553557
177,-20.1678337,-41.79985726
178,-20.0232449,-41.80957219
179,-19.91360458,-41.86325995
180,-19.83817928,-41.95981645
