Theta [deg],dB(GainPhi) [] - Freq='0.7GHz' Phi='0deg',dB(GainPhi) [] - Freq='0.7GHz' Phi='90deg'
-180,-19.83817928,-41.95981645
-179,-19.79643805,-42.09841975
-178,-19.78803798,-42.27850503
-177,-19.81281473,-42.49974678
-176,-19.87077751,-42.7620463
-175,-19.96210828,-43.06552312
-174,-20.0871651,-43.41050843
-173,-20.24648958,-43.79753828
-172,-20.440819,-44.22734336
-171,-20.6711035,-44.70083013
-170,-20.93852913,-45.21904526
-169,-21.24454802,-45.78310992
-168,-21.59091697,-46.394102
-167,-21.97974659,-47.05284993
-166,-22.41356333,-47.75957873
-165,-22.89538757,-48.51331322
-164,-23.42883144,-49.31089181
-163,-24.0182202,-50.14538431
-162,-24.66874056,-51.00367937
-161,-25.38661546,-51.86314109
-160,-26.17929469,-52.6878341
-159,-27.055623,-53.42631654
-158,-28.02587693,-54.01524264
-157,-29.10138481,-54.39338208
-156,-30.29300038,-54.52410393
-155,-31.60659701,-54.41252285
-154,-33.0311678,-54.10255748
-153,-34.51034617,-53.6566249
-152,-35.88738224,-53.13449487
-151,-36.85635378,-52.58223353
-150,-37.08021857,-52.03063239
-149,-36.52153603,-51.49814491
-148,-35.48837537,-50.99466438
-147,-34.30862479,-50.524639
-146,-33.16337107,-50.08925111
-145,-32.12156774,-49.68782485
-144,-31.19904307,-49.31869711
-143,-30.3912247,-48.97974258
-142,-29.68715142,-48.66868431
-141,-29.07485835,-48.38327369
-140,-28.5432465,-48.12139151
-139,-28.08258912,-47.88110152
-138,-27.6845357,-47.66067546
-137,-27.34195135,-47.45860056
-136,-27.04872116,-47.27357663
-135,-26.79956609,-47.10450654
-134,-26.58988437,-46.95048282
-133,-26.41561986,-46.81077174
-132,-26.27315456,-46.68479625
-131,-26.15922142,-46.57211809
-130,-26.07083363,-46.47242001
-129,-26.00522746,-46.38548825
-128,-25.95981591,-46.31119562
-127,-25.93215131,-46.24948562
-126,-25.91989547,-46.20035743
-125,-25.92079594,-46.16385222
-124,-25.932668,-46.14004045
-123,-25.95338136,-46.12901055
-122,-25.98085143,-46.13085845
-121,-26.01303463,-46.14567827
-120,-26.04792759,-46.17355373
-119,-26.08356994,-46.21455022
-118,-26.11805043,-46.26870735
-117,-26.14951608,-46.3360318
-116,-26.17618389,-46.41649019
-115,-26.19635469,-46.51000188
-114,-26.20842852,-46.61643149
-113,-26.21092077,-46.73558101
-112,-26.20247837,-46.86718141
-111,-26.1818951,-47.01088374
-110,-26.14812534,-47.16624965
-109,-26.10029529,-47.33274163
-108,-26.03771107,-47.50971314
-107,-25.95986321,-47.6963992
-106,-25.86642706,-47.89190788
-105,-25.75725921,-48.09521396
-104,-25.63238986,-48.30515554
-103,-25.49201163,-48.52043534
-102,-25.3364652,-48.73962821
-101,-25.16622259,-48.96119659
-100,-24.98186871,-49.18351571
-99,-24.78408199,-49.40490981
-98,-24.57361484,-49.62370016
-97,-24.3512746,-49.83826436
-96,-24.11790554,-50.04710533
-95,-23.87437236,-50.24892644
-94,-23.62154549,-50.44270803
-93,-23.36028843,-50.6277789
-92,-23.09144709,-50.80387639
-91,-22.81584123,-50.97118867
-90,-22.53425778,-51.13037462
-89,-22.24744597,-51.28255876
-88,-21.95611403,-51.42930159
-87,-21.66092715,-51.57254774
-86,-21.36250666,-51.71455657
-85,-21.06142997,-51.85782002
-84,-20.75823124,-52.00497223
-83,-20.45340243,-52.15869364
-82,-20.14739467,-52.32160962
-81,-19.84061969,-52.4961803
-80,-19.53345128,-52.68457442
-79,-19.22622659,-52.88851546
-78,-18.91924722,-53.10908353
-77,-18.61278009,-53.3464514
-76,-18.30705801,-53.5995295
-75,-18.00227992,-53.8654951
-74,-17.6986109,-54.13919281
-73,-17.3961819,-54.41242974
-72,-17.09508931,-54.67326655
-71,-16.79539435,-54.90554413
-70,-16.49712249,-55.08906786
-69,-16.20026281,-55.20100072
-68,-15.90476768,-55.21886792
-67,-15.61055259,-55.1249164
-66,-15.31749644,-54.91052931
-65,-15.0254424,-54.57874598
-64,-14.7341994,-54.14356812
-63,-14.44354443,-53.62643371
-62,-14.15322569,-53.05161895
-61,-13.86296677,-52.4423635
-60,-13.57247184,-51.81857312
-59,-13.28143182,-51.19601351
-58,-12.98953159,-50.58647902
-57,-12.69645806,-49.99842005
-56,-12.40190891,-49.43768458
-55,-12.10560191,-48.90819847
-54,-11.80728428,-48.4125213
-53,-11.50674208,-47.95227209
-52,-11.20380892,-47.52844334
-51,-10.89837394,-47.14162741
-50,-10.59038837,-46.79217777
-49,-10.2798707,-46.4803233
-48,-9.9669099,-46.20624964
-47,-9.651666732,-45.9701577
-46,-9.33437303,-45.77230684
-45,-9.015328991,-45.61304807
-44,-8.694898656,-45.49285092
