Theta [deg],dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='0deg',dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='90.0000000000002deg'
32,-7.17,-29.84
32.1,-7.17,-29.84
32.2,-7.17,-29.84
32.3,-7.17,-29.84
32.4,-7.17,-29.84
32.5,-7.17,-29.84
32.6,-7.17,-30.06
32.7,-7.17,-30.06
32.8,-7.38,-30.06
32.9,-7.38,-30.07
33,-7.38,-30.07
33.1,-7.38,-30.07
33.2,-7.38,-30.07
33.3,-7.38,-30.07
33.4,-7.38,-30.07
33.5,-7.38,-30.07
33.6,-7.38,-30.07
33.7,-7.38,-30.07
33.8,-7.38,-30.07
33.9,-7.69,-30.39
34,-7.69,-30.39
34.1,-7.69,-30.39
34.2,-7.69,-30.39
34.3,-7.69,-30.39
34.4,-7.69,-30.39
34.5,-7.69,-30.39
34.6,-7.69,-30.39
34.7,-7.69,-30.45
34.8,-7.69,-30.45
34.9,-7.69,-30.45
35,-7.69,-30.69
35.1,-7.69,-30.69
35.2,-7.69,-30.69
35.3,-7.69,-30.69
35.4,-7.69,-30.69
35.5,-7.69,-30.69
35.6,-7.69,-30.69
35.7,-7.96,-30.69
35.8,-7.96,-30.69
35.9,-7.96,-30.71
36,-7.96,-30.71
36.1,-7.96,-30.71
36.2,-7.96,-31.06
36.3,-7.96,-31.06
36.4,-7.96,-31.06
36.5,-7.96,-31.06
36.6,-8.14,-31.06
36.7,-8.14,-31.06
36.8,-8.14,-31.06
36.9,-8.14,-31.06
37,-8.14,-31.1
37.1,-8.14,-31.1
37.2,-8.14,-31.1
37.3,-8.14,-31.1
37.4,-8.14,-31.1
37.5,-8.14,-31.1
37.6,-8.14,-31.1
37.7,-8.14,-31.1
37.8,-8.14,-31.1
37.9,-8.14,-31.1
38,-8.14,-31.34
38.1,-8.14,-31.34
38.2,-8.14,-31.34
38.3,-8.14,-31.62
38.4,-8.14,-31.62
38.5,-8.14,-31.62
38.6,-8.14,-31.62
38.7,-8.14,-31.62
38.8,-8.14,-31.62
38.9,-8.14,-31.62
39,-8.14,-31.69
39.1,-8.14,-31.69
39.2,-8.14,-31.69
39.3,-8.37,-31.69
39.4,-8.37,-31.69
39.5,-8.37,-31.92
39.6,-8.37,-31.92
39.7,-8.37,-31.92
39.8,-8.37,-31.92
39.9,-8.37,-31.92
40,-8.37,-31.96
40.1,-8.37,-31.96
40.2,-8.37,-31.96
40.3,-8.37,-31.96
40.4,-8.37,-31.96
40.5,-8.37,-31.96
40.6,-8.37,-31.96
40.7,-8.37,-31.96
40.8,-8.57,-32.19
40.9,-8.57,-32.19
41,-8.57,-32.51
41.1,-8.57,-32.51
41.2,-8.57,-32.51
41.3,-8.57,-32.51
41.4,-8.57,-32.51
41.5,-8.57,-32.51
41.6,-8.57,-32.51
41.7,-8.57,-32.51
41.8,-8.57,-32.51
41.9,-8.57,-32.52
42,-8.75,-32.52
42.1,-8.75,-32.52
42.2,-8.75,-32.52
42.3,-8.75,-32.52
42.4,-8.75,-32.52
42.5,-8.75,-32.52
42.6,-8.75,-32.52
42.7,-8.75,-32.52
42.8,-8.75,-32.52
42.9,-8.75,-32.52
43,-8.75,-32.76
43.1,-8.75,-33.01
43.2,-8.75,-33.01
43.3,-8.75,-33.01
43.4,-8.75,-33.01
43.5,-8.82,-33.01
43.6,-8.82,-33.01
43.7,-8.82,-33.01
43.8,-8.82,-33.01
43.9,-8.82,-33.01
44,-8.82,-33.08
44.1,-8.82,-33.08
44.2,-8.82,-33.08
44.3,-8.82,-33.08
44.4,-8.82,-33.42
44.5,-8.82,-33.42
44.6,-8.82,-33.42
44.7,-8.82,-33.42
44.8,-8.82,-33.42
44.9,-9.07,-33.42
45,-9.07,-33.53
45.1,-9.07,-33.53
45.2,-9.07,-33.53
45.3,-9.07,-33.53
45.4,-9.07,-33.53
45.5,-9.07,-33.53
45.6,-9.07,-33.95
45.7,-9.07,-33.95
45.8,-9.07,-33.95
45.9,-9.07,-33.95
46,-9.07,-33.98
46.1,-9.13,-33.98
46.2,-9.13,-33.98
46.3,-9.13,-33.98
46.4,-9.13,-33.98
46.5,-9.13,-33.98
46.6,-9.13,-33.98
46.7,-9.13,-33.98
46.8,-9.13,-34.27
46.9,-9.13,-34.27
47,-9.13,-34.27
47.1,-9.13,-34.27
47.2,-9.13,-34.27
47.3,-9.13,-34.27
47.4,-9.13,-34.56
47.5,-9.13,-34.56
47.6,-9.13,-34.56
47.7,-9.13,-34.56
47.8,-9.13,-34.56
47.9,-9.32,-34.56
48,-9.32,-34.56
48.1,-9.32,-34.56
48.2,-9.32,-34.56
48.3,-9.32,-34.56
48.4,-9.32,-34.56
48.5,-9.32,-34.56
48.6,-9.32,-34.56
48.7,-9.32,-35.06
48.8,-9.32,-35.06
48.9,-9.32,-35.06
49,-9.55,-35.09
49.1,-9.55,-35.09
49.2,-9.55,-35.09
49.3,-9.55,-35.09
49.4,-9.55,-35.09
49.5,-9.55,-35.09
49.6,-9.55,-35.09
49.7,-9.55,-35.09
49.8,-9.55,-35.09
49.9,-9.55,-35.53
50,-9.55,-35.53
50.1,-9.55,-35.73
50.2,-9.55,-35.73
50.3,-9.55,-35.73
50.4,-9.55,-35.73
50.5,-9.55,-35.73
50.6,-9.55,-35.73
50.7,-9.62,-35.73
50.8,-9.62,-35.73
50.9,-9.62,-35.73
51,-9.62,-35.83
51.1,-9.62,-35.83
51.2,-9.62,-35.83
51.3,-9.62,-35.83
51.4,-9.62,-35.83
51.5,-9.62,-35.83
51.6,-9.62,-35.83
51.7,-9.62,-35.83
51.8,-9.62,-36.26
51.9,-9.62,-36.26
52,-9.84,-36.42
52.1,-9.84,-36.42
52.2,-9.84,-36.42
52.3,-9.84,-36.42
52.4,-9.84,-36.42
52.5,-9.84,-36.42
52.6,-9.84,-36.42
52.7,-9.84,-36.42
52.8,-9.84,-36.42
52.9,-9.84,-36.63
53,-10.39,-36.63
53.1,-10.39,-36.63
53.2,-10.39,-37.23
53.3,-10.39,-37.23
53.4,-10.39,-37.23
53.5,-10.39,-37.23
53.6,-10.39,-37.23
53.7,-10.39,-37.23
53.8,-10.39,-37.23
53.9,-10.39,-37.23
54,-10.39,-37.23
54.1,-10.39,-37.23
54.2,-10.39,-37.23
54.3,-10.39,-37.23
54.4,-10.39,-37.45
54.5,-10.39,-37.45
54.6,-10.39,-37.45
54.7,-10.39,-37.59
54.8,-10.39,-37.59
54.9,-10.39,-37.59
55,-10.39,-37.76
55.1,-10.39,-37.76
55.2,-10.39,-37.76
55.3,-10.39,-37.76
55.4,-10.39,-37.76
55.5,-10.39,-37.76
55.6,-10.39,-37.76
55.7,-10.47,-37.76
55.8,-10.47,-37.76
55.9,-10.47,-37.76
56,-10.47,-38.02
56.1,-10.47,-38.02
56.2,-10.47,-38.02
56.3,-10.47,-38.02
56.4,-10.47,-38.02
56.5,-10.47,-38.42
56.6,-10.47,-38.42
56.7,-10.47,-38.42
56.8,-10.47,-38.42
56.9,-10.47,-38.42
57,-10.47,-38.64
57.1,-10.74,-38.64
57.2,-10.74,-38.64
57.3,-10.74,-38.64
57.4,-10.74,-38.64
57.5,-10.74,-38.64
57.6,-10.74,-38.64
57.7,-10.74,-38.64
57.8,-10.74,-38.64
57.9,-10.74,-38.64
58,-10.74,-38.64
58.1,-10.74,-38.89
58.2,-10.74,-39.64
58.3,-10.74,-39.64
58.4,-10.98,-39.64
58.5,-10.98,-39.64
58.6,-10.98,-39.64
58.7,-10.98,-39.64
58.8,-10.98,-39.64
58.9,-10.98,-39.64
59,-10.98,-39.64
59.1,-10.98,-39.64
59.2,-10.98,-39.64
59.3,-10.98,-39.64
59.4,-10.98,-39.64
59.5,-10.98,-39.64
59.6,-10.98,-39.64
59.7,-10.98,-39.64
59.8,-10.98,-39.64
59.9,-11.31,-39.64
60,-11.31,-39.64
60.1,-11.31,-40.3
60.2,-11.31,-40.3
60.3,-11.31,-40.3
60.4,-11.31,-40.3
60.5,-11.31,-40.3
60.6,-11.31,-40.3
60.7,-11.31,-40.3
60.8,-11.31,-40.3
60.9,-11.31,-40.3
61,-11.31,-40.59
61.1,-11.31,-40.59
61.2,-11.56,-41.17
61.3,-11.56,-41.17
61.4,-11.56,-41.17
61.5,-11.56,-41.17
61.6,-11.56,-41.17
61.7,-11.56,-41.17
61.8,-11.56,-41.17
61.9,-11.56,-41.17
62,-11.56,-41.17
62.1,-11.56,-41.19
62.2,-11.56,-41.19
62.3,-11.56,-41.19
62.4,-11.56,-41.76
62.5,-11.56,-41.76
62.6,-11.86,-41.76
62.7,-11.86,-41.76
62.8,-11.86,-41.76
62.9,-11.86,-41.76
63,-11.86,-41.76
63.1,-11.86,-41.81
63.2,-11.86,-41.81
63.3,-11.86,-41.81
63.4,-11.86,-41.81
63.5,-11.86,-41.81
63.6,-11.86,-41.81
63.7,-11.86,-41.81
63.8,-11.86,-41.81
63.9,-11.86,-41.81
64,-11.86,-41.81
64.1,-11.86,-41.81
64.2,-11.95,-42.28
64.3,-11.95,-42.28
64.4,-11.95,-42.28
64.5,-11.95,-42.94
64.6,-11.95,-42.94
64.7,-11.95,-42.94
64.8,-11.95,-42.94
64.9,-11.95,-42.94
65,-11.95,-42.94
65.1,-11.95,-43.34
65.2,-12.44,-43.34
65.3,-12.44,-43.34
65.4,-12.44,-43.34
65.5,-12.44,-43.34
65.6,-12.44,-43.34
65.7,-12.44,-43.6
65.8,-12.44,-43.6
65.9,-12.44,-43.6
66,-12.44,-43.6
66.1,-12.44,-44.01
66.2,-12.44,-44.01
66.3,-12.44,-44.01
66.4,-12.44,-44.01
66.5,-12.44,-44.01
66.6,-12.44,-44.01
66.7,-12.44,-44.01
66.8,-12.66,-44.01
66.9,-12.66,-44.38
67,-12.66,-44.38
67.1,-12.66,-44.38
67.2,-12.66,-44.38
67.3,-12.66,-44.38
67.4,-12.66,-44.87
67.5,-12.66,-44.87
67.6,-12.66,-44.87
67.7,-12.66,-44.87
67.8,-12.66,-44.87
67.9,-12.66,-44.87
68,-12.66,-44.87
68.1,-12.66,-44.98
68.2,-12.98,-44.98
68.3,-12.98,-44.98
68.4,-12.98,-44.98
68.5,-12.98,-44.98
68.6,-12.98,-44.98
68.7,-12.98,-45.98
68.8,-12.98,-45.98
68.9,-12.98,-45.98
69,-12.98,-45.98
69.1,-12.98,-46.01
69.2,-12.98,-46.01
69.3,-12.98,-46.01
69.4,-13.46,-46.01
69.5,-13.46,-46.01
69.6,-13.46,-46.01
69.7,-13.46,-46.01
69.8,-13.46,-46.01
69.9,-13.46,-46.64
70,-13.46,-46.64
70.1,-13.46,-46.64
70.2,-13.46,-47.17
70.3,-13.46,-47.17
70.4,-13.46,-47.17
70.5,-13.46,-47.17
70.6,-14.03,-47.17
70.7,-14.03,-47.17
70.8,-14.03,-47.17
70.9,-14.03,-47.17
71,-14.03,-47.17
71.1,-14.03,-47.51
71.2,-14.03,-47.51
71.3,-14.03,-47.51
71.4,-14.03,-47.51
71.5,-14.03,-47.51
71.6,-14.03,-47.51
71.7,-14.03,-47.51
71.8,-14.03,-47.51
71.9,-14.03,-47.51
72,-14.03,-47.51
72.1,-14.03,-48.18
72.2,-14.03,-48.64
72.3,-14.03,-48.64
72.4,-14.03,-48.64
72.5,-14.03,-48.64
72.6,-14.03,-48.64
72.7,-14.03,-48.64
72.8,-14.03,-48.64
72.9,-14.03,-48.64
73,-14.03,-48.64
73.1,-14.03,-49.51
73.2,-14.03,-49.51
73.3,-14.03,-49.51
73.4,-14.56,-49.54
73.5,-14.56,-49.54
73.6,-14.56,-49.54
73.7,-14.56,-49.54
73.8,-14.56,-49.54
73.9,-14.56,-49.54
74,-14.56,-49.54
74.1,-14.56,-49.98
74.2,-14.56,-49.98
74.3,-14.56,-49.98
74.4,-14.56,-49.98
74.5,-14.56,-49.98
74.6,-14.56,-49.98
74.7,-14.56,-51.21
74.8,-14.88,-51.21
74.9,-14.88,-51.21
75,-14.88,-51.21
75.1,-14.88,-51.21
75.2,-14.88,-51.21
75.3,-14.88,-51.21
75.4,-14.88,-51.21
75.5,-14.88,-51.21
75.6,-14.88,-51.21
75.7,-14.88,-51.21
75.8,-14.88,-51.21
75.9,-14.88,-52.03
76,-14.88,-52.03
76.1,-14.88,-52.67
76.2,-15.2,-52.67
76.3,-15.2,-52.67
76.4,-15.2,-52.67
76.5,-15.2,-52.67
76.6,-15.2,-52.67
76.7,-15.2,-52.67
76.8,-15.2,-52.67
76.9,-15.2,-52.67
77,-15.2,-52.67
77.1,-15.2,-52.67
77.2,-15.2,-54.53
77.3,-15.2,-54.53
77.4,-15.2,-54.53
77.5,-15.2,-54.53
77.6,-15.71,-54.53
77.7,-15.71,-54.53
77.8,-15.71,-54.53
77.9,-15.71,-54.53
78,-15.71,-53.95
78.1,-15.71,-53.95
78.2,-15.71,-56.14
78.3,-15.71,-56.14
78.4,-15.71,-56.14
78.5,-15.71,-56.14
78.6,-15.71,-56.14
78.7,-15.71,-56.14
78.8,-15.71,-56.14
78.9,-15.71,-56.14
79,-15.71,-56.14
79.1,-16.15,-56.14
79.2,-16.15,-56.23
79.3,-16.15,-56.23
79.4,-16.15,-56.23
79.5,-16.15,-56.23
79.6,-16.15,-56.23
79.7,-16.15,-57.09
79.8,-16.15,-57.09
79.9,-16.15,-57.09
80,-16.15,-57.09
80.1,-16.15,-57.09
80.2,-16.15,-59.34
80.3,-16.48,-59.34
80.4,-16.48,-59.34
80.5,-16.48,-59.34
80.6,-16.48,-59.34
80.7,-16.48,-59.34
80.8,-16.48,-59.34
80.9,-16.48,-59.34
81,-16.48,-58.59
81.1,-16.48,-58.59
81.2,-16.48,-58.59
81.3,-16.48,-58.59
81.4,-16.48,-58.59
81.5,-16.48,-61.78
81.6,-17.04,-61.78
81.7,-17.04,-61.78
81.8,-17.04,-61.78
81.9,-17.04,-61.78
82,-17.04,-61.78
82.1,-17.04,-61.78
82.2,-17.04,-60.78
82.3,-17.04,-60.78
82.4,-17.04,-60.78
82.5,-17.04,-63.48
82.6,-17.04,-63.48
82.7,-17.67,-63.48
82.8,-17.67,-63.48
82.9,-17.67,-63.48
83,-17.67,-63.48
83.1,-17.67,-63.48
83.2,-17.67,-62.12
83.3,-17.67,-62.12
83.4,-17.67,-62.12
83.5,-17.67,-62.12
83.6,-17.67,-62.12
83.7,-17.67,-62.12
83.8,-17.67,-62.12
83.9,-17.67,-62.12
84,-17.67,-62.12
84.1,-17.67,-64.26
84.2,-17.67,-64.26
84.3,-17.67,-68.01
84.4,-17.67,-68.01
84.5,-17.67,-68.01
84.6,-17.67,-68.01
84.7,-17.67,-68.01
84.8,-17.67,-68.01
84.9,-17.67,-68.01
85,-17.67,-68.01
85.1,-17.67,-68.01
85.2,-17.67,-68.01
85.3,-17.67,-68.01
85.4,-17.67,-68.01
85.5,-18.03,-66.37
85.6,-18.03,-66.37
85.7,-18.03,-66.37
85.8,-18.03,-67.12
85.9,-18.03,-67.12
86,-18.03,-67.12
86.1,-18.03,-67.12
86.2,-18.03,-67.01
86.3,-18.03,-67.01
86.4,-18.03,-67.01
86.5,-18.03,-67.01
86.6,-18.03,-67.01
86.7,-18.03,-67.01
86.8,-18.03,-67.01
86.9,-18.65,-67.01
87,-18.65,-67.01
87.1,-18.65,-66.34
87.2,-18.65,-66.34
87.3,-18.65,-69.14
87.4,-18.65,-69.14
87.5,-18.65,-69.14
87.6,-18.65,-69.14
87.7,-18.65,-69.14
87.8,-18.65,-69.14
87.9,-18.65,-69.14
88,-18.65,-69.14
88.1,-18.65,-69.14
88.2,-18.65,-70.45
88.3,-19.02,-70.45
88.4,-19.02,-70.45
88.5,-19.02,-70.45
88.6,-19.02,-70.45
88.7,-19.02,-70.45
88.8,-19.02,-68.98
88.9,-19.02,-68.98
89,-19.02,-68.98
89.1,-19.02,-68.98
89.2,-19.02,-68.98
89.3,-19.02,-68.98
89.4,-19.02,-68.98
89.5,-19.46,-68.98
89.6,-19.46,-68.98
89.7,-19.46,-68.98
89.8,-19.46,-68.98
89.9,-19.46,-68.98
90,-19.46,-65.23
90.1,-19.46,-65.23
90.2,-19.46,-70.64
90.3,-19.46,-70.64
90.4,-19.46,-70.64
90.5,-20.21,-70.64
90.6,-20.21,-64.81
90.7,-20.21,-64.81
90.8,-20.21,-64.81
90.9,-20.21,-64.81
91,-20.21,-64.81
91.1,-20.21,-64.81
91.2,-20.21,-64.81
91.3,-20.21,-67.14
91.4,-20.21,-67.14
91.5,-20.21,-67.14
91.6,-20.21,-67.14
91.7,-20.21,-67.14
91.8,-20.21,-66.53
91.9,-20.21,-66.53
92,-20.21,-66.53
92.1,-20.21,-66.53
92.2,-20.21,-66.53
92.3,-20.21,-68.84
92.4,-20.21,-68.84
92.5,-20.21,-68.84
92.6,-20.21,-68.84
92.7,-20.21,-68.84
92.8,-20.21,-68.84
92.9,-20.21,-68.84
93,-20.21,-68.84
93.1,-20.21,-68.84
93.2,-20.21,-68.84
93.3,-20.21,-66.64
93.4,-20.65,-66.64
93.5,-20.65,-66.64
93.6,-20.65,-70.74
93.7,-20.65,-70.74
93.8,-20.65,-70.74
93.9,-20.65,-70.74
94,-20.65,-70.74
94.1,-20.65,-70.74
94.2,-20.65,-70.74
94.3,-20.65,-69.01
94.4,-20.65,-69.01
94.5,-20.65,-69.01
94.6,-20.95,-69.01
94.7,-20.95,-69.01
94.8,-20.95,-65.14
94.9,-20.95,-65.14
95,-20.95,-65.14
95.1,-20.95,-65.14
95.2,-20.95,-65.14
95.3,-20.95,-65.14
95.4,-20.95,-73.12
95.5,-20.95,-73.12
95.6,-20.95,-73.12
95.7,-20.95,-73.12
95.8,-20.95,-73.12
95.9,-21.5,-73.12
96,-21.5,-73.12
96.1,-21.5,-73.12
96.2,-21.5,-73.12
96.3,-21.5,-67.14
96.4,-21.5,-67.14
96.5,-21.5,-67.14
96.6,-21.5,-67.73
96.7,-21.5,-67.73
96.8,-21.5,-67.73
96.9,-21.5,-67.73
97,-21.5,-67.73
97.1,-21.5,-67.73
97.2,-21.5,-67.73
97.3,-21.5,-67.73
97.4,-21.5,-68.26
97.5,-21.5,-68.26
97.6,-21.76,-68.26
97.7,-21.76,-68.26
97.8,-21.76,-63.62
97.9,-21.76,-63.62
98,-21.76,-63.62
98.1,-21.76,-63.62
98.2,-21.76,-63.62
98.3,-21.76,-63.62
98.4,-21.76,-68.76
98.5,-21.76,-68.76
98.6,-21.76,-68.76
98.7,-22.31,-68.76
98.8,-22.31,-68.76
98.9,-22.31,-68.76
99,-22.31,-68.76
99.1,-22.31,-68.76
99.2,-22.31,-68.76
99.3,-22.31,-62.98
99.4,-22.31,-62.98
99.5,-22.31,-62.31
99.6,-22.31,-62.31
99.7,-23.31,-62.31
99.8,-23.31,-62.31
99.9,-23.31,-62.31
100,-23.31,-62.31
