Theta [deg],dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='0deg',dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='90.0000000000002deg'
0,-0.21,-29.87
0.1,-0.32,-29.87
0.2,-0.32,-29.87
0.3,-0.32,-29.87
0.4,-0.29,-29.87
0.5,-0.29,-29.87
0.6,-0.29,-29.8
0.7,-0.29,-29.8
0.8,-0.29,-29.8
0.9,-0.29,-29.8
1,-0.29,-29.8
1.1,-0.29,-29.8
1.2,-0.29,-29.8
1.3,-0.29,-29.74
1.4,-0.29,-29.74
1.5,-0.29,-29.74
1.6,-0.46,-29.74
1.7,-0.46,-29.74
1.8,-0.46,-29.51
1.9,-0.46,-29.51
2,-0.46,-29.51
2.1,-0.46,-29.51
2.2,-0.46,-29.51
2.3,-0.46,-29.45
2.4,-0.46,-29.45
2.5,-0.46,-29.45
2.6,-0.46,-29.45
2.7,-0.46,-29.45
2.8,-0.46,-29.27
2.9,-0.46,-29.27
3,-0.68,-29.27
3.1,-0.68,-29.27
3.2,-0.68,-29.27
3.3,-0.68,-29.27
3.4,-0.68,-29.27
3.5,-0.68,-29.27
3.6,-0.68,-29.27
3.7,-0.68,-29.27
3.8,-0.68,-29.27
3.9,-0.68,-29.01
4,-0.68,-29.01
4.1,-0.68,-29.01
4.2,-0.68,-29.01
4.3,-0.68,-29.01
4.4,-0.68,-29.01
4.5,-0.68,-29.01
4.6,-0.73,-29.01
4.7,-0.73,-29.01
4.8,-0.73,-28.93
4.9,-0.73,-28.93
5,-0.73,-28.93
5.1,-0.73,-28.93
5.2,-0.73,-28.93
5.3,-0.73,-28.72
5.4,-0.73,-28.72
5.5,-0.73,-28.72
5.6,-0.73,-28.72
5.7,-0.98,-28.72
5.8,-0.98,-28.67
5.9,-0.98,-28.67
6,-0.98,-28.67
6.1,-0.98,-28.67
6.2,-0.98,-28.67
6.3,-0.98,-28.67
6.4,-0.98,-28.67
6.5,-0.98,-28.67
6.6,-0.98,-28.64
6.7,-0.98,-28.64
6.8,-0.98,-28.64
6.9,-0.98,-28.64
7,-0.98,-28.64
7.1,-0.98,-28.64
7.2,-0.98,-28.64
7.3,-0.98,-28.64
7.4,-0.98,-28.64
7.5,-0.98,-28.64
7.6,-1.14,-28.64
7.7,-1.14,-28.64
7.8,-1.14,-28.6
7.9,-1.14,-28.6
8,-1.14,-28.6
8.1,-1.14,-28.6
8.2,-1.14,-28.6
8.3,-1.14,-28.34
8.4,-1.14,-28.34
8.5,-1.14,-28.34
8.6,-1.14,-28.34
8.7,-1.53,-28.35
8.8,-1.53,-28.35
8.9,-1.53,-28.3
9,-1.53,-28.3
9.1,-1.53,-28.3
9.2,-1.53,-28.3
9.3,-1.53,-28.3
9.4,-1.53,-28.3
9.5,-1.53,-28.3
9.6,-1.53,-28.3
9.7,-1.53,-28.3
9.8,-1.53,-28.26
9.9,-1.53,-28.26
10,-1.53,-28.26
10.1,-1.53,-28.24
10.2,-1.53,-28.24
10.3,-1.78,-28.24
10.4,-1.78,-28.24
10.5,-1.78,-28.24
10.6,-1.78,-28.24
10.7,-1.78,-28.24
10.8,-1.78,-28.24
10.9,-1.78,-28.24
11,-1.78,-28.24
11.1,-1.78,-28.24
11.2,-1.78,-28.24
11.3,-1.78,-28.05
11.4,-1.78,-28.05
11.5,-1.78,-28.05
11.6,-1.78,-28.05
11.7,-1.98,-28.04
11.8,-1.98,-28.04
11.9,-1.98,-28.04
12,-1.98,-28.04
12.1,-1.98,-28.04
12.2,-1.98,-28.04
12.3,-1.98,-28.04
12.4,-1.98,-28.04
12.5,-1.98,-28.04
12.6,-1.98,-28.04
12.7,-1.98,-28.03
12.8,-1.98,-28.03
12.9,-2.45,-28.03
13,-2.45,-28.03
13.1,-2.45,-28.03
13.2,-2.45,-28.02
13.3,-2.45,-28.02
13.4,-2.45,-28.02
13.5,-2.45,-28.01
13.6,-2.45,-28.01
13.7,-2.45,-28.01
13.8,-2.45,-28
13.9,-2.45,-28
14,-2.45,-28
14.1,-2.45,-28
14.2,-2.45,-28
14.3,-2.45,-28
14.4,-2.45,-28
14.5,-2.72,-28
14.6,-2.72,-28
14.7,-2.72,-28
14.8,-2.72,-28
14.9,-2.72,-28
15,-2.72,-28
15.1,-2.72,-28
15.2,-2.72,-28
15.3,-2.72,-28
15.4,-2.72,-28
15.5,-2.72,-28
15.6,-2.72,-27.88
15.7,-3.24,-27.88
15.8,-3.24,-27.9
15.9,-3.24,-27.9
16,-3.24,-27.9
16.1,-3.24,-27.9
16.2,-3.24,-27.9
16.3,-3.24,-27.9
16.4,-3.24,-27.9
16.5,-3.24,-27.9
16.6,-3.24,-27.9
16.7,-3.24,-27.9
16.8,-3.24,-27.93
16.9,-3.24,-27.93
17,-3.24,-27.93
17.1,-3.24,-27.93
17.2,-3.57,-27.93
17.3,-3.57,-27.93
17.4,-3.57,-27.93
17.5,-3.57,-27.93
17.6,-3.57,-27.93
17.7,-3.57,-27.94
17.8,-3.57,-27.94
17.9,-3.57,-27.94
18,-3.57,-27.94
18.1,-3.57,-27.94
18.2,-3.57,-27.94
18.3,-3.57,-27.94
18.4,-3.57,-27.94
18.5,-3.57,-27.94
18.6,-3.57,-27.94
18.7,-3.84,-27.94
18.8,-3.84,-27.95
18.9,-3.84,-27.95
19,-3.84,-27.95
19.1,-3.84,-27.96
19.2,-3.84,-27.96
19.3,-3.84,-27.96
19.4,-3.84,-27.96
19.5,-3.84,-27.96
19.6,-3.84,-27.96
19.7,-3.84,-27.96
19.8,-3.84,-27.96
19.9,-3.84,-27.96
20,-4.37,-27.96
20.1,-4.37,-27.96
20.2,-4.37,-27.96
20.3,-4.37,-27.96
20.4,-4.37,-28.17
20.5,-4.37,-28.17
20.6,-4.37,-28.17
20.7,-4.37,-28.01
20.8,-4.37,-28.01
20.9,-4.37,-28.01
21,-4.37,-28.01
21.1,-4.37,-28.01
21.2,-4.37,-28.01
21.3,-4.37,-28.01
21.4,-4.37,-28.01
21.5,-4.37,-28.01
21.6,-4.67,-28.01
21.7,-4.67,-28.01
21.8,-4.67,-28.24
21.9,-4.67,-28.24
22,-4.67,-28.24
22.1,-4.67,-28.24
22.2,-4.67,-28.24
22.3,-4.67,-28.24
22.4,-4.67,-28.24
22.5,-4.67,-28.27
22.6,-4.67,-28.27
22.7,-4.67,-28.27
22.8,-5.22,-28.27
22.9,-5.22,-28.3
23,-5.22,-28.3
23.1,-5.22,-28.3
23.2,-5.22,-28.3
23.3,-5.22,-28.3
23.4,-5.22,-28.3
23.5,-5.22,-28.3
23.6,-5.22,-28.3
23.7,-5.22,-28.48
23.8,-5.22,-28.48
23.9,-5.22,-28.48
24,-5.22,-28.48
24.1,-5.22,-28.48
24.2,-5.22,-28.48
24.3,-5.57,-28.48
24.4,-5.57,-28.48
24.5,-5.57,-28.48
24.6,-5.57,-28.48
24.7,-5.57,-28.48
24.8,-5.57,-28.56
24.9,-5.57,-28.56
25,-5.57,-28.56
25.1,-5.57,-28.56
25.2,-5.57,-28.56
25.3,-5.57,-28.56
25.4,-5.57,-28.56
25.5,-5.57,-28.56
25.6,-5.57,-28.56
25.7,-5.57,-28.56
25.8,-5.87,-28.56
25.9,-5.87,-28.78
26,-5.87,-28.82
26.1,-5.87,-28.82
26.2,-5.87,-28.82
26.3,-5.87,-28.82
26.4,-5.87,-28.82
26.5,-5.87,-28.82
26.6,-5.87,-28.82
26.7,-5.87,-28.82
26.8,-5.87,-28.82
26.9,-6.27,-28.83
27,-6.27,-28.83
27.1,-6.27,-28.83
27.2,-6.27,-29.03
27.3,-6.27,-29.03
27.4,-6.27,-29.03
27.5,-6.27,-29.03
27.6,-6.27,-29.03
27.7,-6.27,-29.03
27.8,-6.27,-29.03
27.9,-6.27,-29.1
28,-6.27,-29.1
28.1,-6.27,-29.1
28.2,-6.27,-29.1
28.3,-6.27,-29.1
28.4,-6.27,-29.33
28.5,-6.56,-29.33
28.6,-6.56,-29.33
28.7,-6.56,-29.33
28.8,-6.56,-29.33
28.9,-6.56,-29.33
29,-6.56,-29.33
29.1,-6.56,-29.33
29.2,-6.56,-29.33
29.3,-6.56,-29.33
29.4,-6.56,-29.33
29.5,-6.56,-29.33
29.6,-6.56,-29.48
29.7,-6.56,-29.48
29.8,-6.92,-29.48
29.9,-6.92,-29.51
30,-6.92,-29.51
30.1,-6.92,-29.51
30.2,-6.92,-29.56
30.3,-6.92,-29.56
30.4,-6.92,-29.56
30.5,-6.92,-29.56
30.6,-6.92,-29.56
30.7,-6.92,-29.56
30.8,-6.92,-29.56
30.9,-6.92,-29.58
31,-6.92,-29.58
31.1,-7.17,-29.58
31.2,-7.17,-29.58
31.3,-7.17,-29.58
31.4,-7.17,-29.84
31.5,-7.17,-29.84
31.6,-7.17,-29.84
31.7,-7.17,-29.84
31.8,-7.17,-29.84
31.9,-7.17,-29.84
