"Freq [GHz]","dB(S(1,1)) [] - L1='9mm' RatioElips='1.5' Zref='30mm'"
0.545,-7.84713263925145
0.546,-7.8989808283217
0.547,-7.95125001325703
0.548,-8.00394838834152
0.549,-8.05708422192309
0.55,-8.11066585935404
0.551,-8.16470172606788
0.552,-8.21920033079249
0.553,-8.27417026890397
0.554,-8.32962022592235
0.555,-8.38555898115292
0.556,-8.44199541147641
0.557,-8.49893849529149
0.558,-8.55639731661348
0.559,-8.61438106933392
0.56,-8.67289906164532
0.561,-8.73196072063616
0.562,-8.79157559706222
0.563,-8.85175337029886
0.564,-8.91250385348229
0.565,-8.97383699884492
0.566,-9.03576290325345
0.567,-9.09829181395619
0.568,-9.16143413454953
0.569,-9.22520043117091
0.57,-9.28960143892844
0.571,-9.35464806857784
0.572,-9.42035141345633
0.573,-9.48672275668605
0.574,-9.55377357865855
0.575,-9.62151556481379
0.576,-9.68996061372733
0.577,-9.75912084552047
0.578,-9.82900861060939
0.579,-9.8996364988093
0.58,-9.97101734881258
0.581,-10.0431642580583
0.582,-10.1160905930152
0.583,-10.1898099998972
0.584,-10.2643364158373
0.585,-10.3396840805409
0.586,-10.4158675484477
0.587,-10.4929017014272
0.588,-10.570801762039
0.589,-10.6495833073889
0.59,-10.7292622836134
0.591,-10.8098550210304
0.592,-10.8913782499919
0.593,-10.9738491174823
0.594,-11.0572852045031
0.595,-11.1417045442932
0.596,-11.2271256414337
0.597,-11.3135674918901
0.598,-11.4010496040512
0.599,-11.4895920208235
0.6,-11.5792153428506
0.601,-11.6699407529246
0.602,-11.7617900416684
0.603,-11.8547856345699
0.604,-11.9489506204554
0.605,-12.0443087814978
0.606,-12.1408846248615
0.607,-12.2387034160931
0.608,-12.3377912143788
0.609,-12.4381749097934
0.61,-12.5398822626835
0.611,-12.6429419453305
0.612,-12.7473835860596
0.613,-12.8532378159679
0.614,-12.9605363184636
0.615,-13.0693118818231
0.616,-13.179598454991
0.617,-13.2914312068677
0.618,-13.4048465893516
0.619,-13.5198824044255
0.62,-13.6365778756049
0.621,-13.7549737240946
0.622,-13.8751122500317
0.623,-13.9970374192295
0.624,-14.1207949558777
0.625,-14.2464324416961
0.626,-14.3739994220915
0.627,-14.5035475199185
0.628,-14.6351305575096
0.629,-14.7688046877081
0.63,-14.9046285347093
0.631,-15.0426633456099
0.632,-15.1829731536526
0.633,-15.3256249542685
0.634,-15.4706888951391
0.635,-15.618238481637
0.636,-15.7683507991626
0.637,-15.921106754069
0.638,-16.0765913350692
0.639,-16.2348938972472
0.64,-16.3961084710541
0.641,-16.5603340989697
0.642,-16.7276752028469
0.643,-16.8982419853485
0.644,-17.0721508693342
0.645,-17.2495249795721
0.646,-17.4304946717457
0.647,-17.6151981144215
0.648,-17.8037819304454
0.649,-17.99640190517
0.65,-18.1932237700136
0.651,-18.3944240711285
0.652,-18.600191134465
0.653,-18.8107261402919
0.654,-19.0262443223328
0.655,-19.2469763091734
0.656,-19.4731696285571
0.657,-19.7050903987399
0.658,-19.9430252353295
0.659,-20.1872834071637
0.66,-20.4381992809869
0.661,-20.6961351022235
0.662,-20.9614841683401
0.663,-21.2346744625711
0.664,-21.5161728296628
0.665,-21.8064897924918
0.666,-22.1061851297974
0.667,-22.4158743620291
0.668,-22.7362363259524
0.669,-23.0680220612125
0.67,-23.4120652861653
0.671,-23.7692948095063
0.672,-24.1407493132598
0.673,-24.5275950578566
0.674,-24.9311472097633
0.675,-25.352895687712
0.676,-25.7945366799581
0.677,-26.2580113216908
0.678,-26.7455534634083
0.679,-27.2597490370423
0.68,-27.8036102666188
0.681,-28.3806688912139
0.682,-28.9950936373676
0.683,-29.651838219612
0.684,-30.3568266027053
0.685,-31.117180583633
0.686,-31.9414868718753
0.687,-32.8400761206136
0.688,-33.8252167605164
0.689,-34.9109370181845
0.69,-36.111676066175
0.691,-37.4375873650851
0.692,-38.8807701198041
0.693,-40.3791998958999
0.694,-41.7412865530677
0.695,-42.5788615970553
0.696,-42.5000848639002
0.697,-41.5595029814441
0.698,-40.1843558097653
0.699,-38.725872548816
0.7,-37.3422541524219
0.701,-36.0801691024781
0.702,-34.9420451563052
0.703,-33.9162019421252
0.704,-32.9880670035981
0.705,-32.1439122062855
0.706,-31.3718605025584
0.707,-30.6619502519971
0.708,-30.0059104466626
0.709,-29.3968795637406
0.71,-28.8291453083068
0.711,-28.2979256042334
0.712,-27.7991912378138
0.713,-27.3295244564427
0.714,-26.8860067808764
0.715,-26.4661299389367
0.716,-26.067724902524
0.717,-25.6889050570728
0.718,-25.3280204178092
0.719,-24.9836205125401
0.72,-24.654424097553
0.721,-24.3392942918435
0.722,-24.0372180338376
0.723,-23.747289007694
0.724,-23.4686933716927
0.725,-23.2006977632913
0.726,-22.9426391648174
0.727,-22.6939162984126
0.728,-22.4539822847394
0.729,-22.2223383515221
0.73,-21.9985284185967
0.731,-21.7821344182746
