Theta [deg],dB(GainPhi) [] - Freq='0.7GHz' Phi='0deg',dB(GainPhi) [] - Freq='0.7GHz' Phi='90deg'
5,-0.129869393,-53.3069737
6,-0.176162699,-54.50432173
7,-0.229444913,-55.96564331
8,-0.289690197,-57.79707286
9,-0.356869865,-60.17462083
10,-0.430952204,-63.3683161
11,-0.511902279,-67.25591293
12,-0.599681706,-67.70178534
13,-0.694248408,-63.67364371
14,-0.795556342,-60.05570336
15,-0.903555197,-57.30154192
16,-1.018190074,-55.13540114
17,-1.139401133,-53.36504589
18,-1.267123212,-51.87496105
19,-1.401285428,-50.59325631
20,-1.541810745,-49.47284155
21,-1.688615527,-48.48140655
22,-1.841609066,-47.59589585
23,-2.0006931,-46.79930952
24,-2.165761317,-46.07876237
25,-2.336698853,-45.42425655
26,-2.5133818,-44.82787694
27,-2.695676716,-44.28324677
28,-2.883440165,-43.78514924
29,-3.076518286,-43.32925797
30,-3.274746412,-42.911941
31,-3.47794874,-42.53011547
32,-3.685938097,-42.18113805
33,-3.89851578,-41.86272114
34,-4.115471523,-41.57286775
35,-4.33658359,-41.30982037
36,-4.561619018,-41.07202023
37,-4.790334031,-40.85807466
38,-5.022474643,-40.66673045
39,-5.25777746,-40.49685211
40,-5.4959707,-40.34740383
41,-5.736775435,-40.2174344
42,-5.979907068,-40.10606458
43,-6.225077029,-40.01247635
44,-6.471994699,-39.93590369
45,-6.72036952,-39.87562471
46,-6.969913302,-39.83095473
47,-7.220342654,-39.80124033
48,-7.47138153,-39.78585409
49,-7.722763814,-39.78418989
50,-7.974235908,-39.79565882
51,-8.225559243,-39.81968552
52,-8.476512662,-39.85570492
53,-8.7268946,-39.90315928
54,-8.976524999,-39.96149573
55,-9.225246904,-40.03016392
56,-9.47292768,-40.10861418
57,-9.719459827,-40.19629584
58,-9.964761342,-40.29265599
59,-10.20877564,-40.3971385
60,-10.45147103,-40.50918349
61,-10.69283974,-40.62822711
62,-10.93289653,-40.75370185
63,-11.17167701,-40.88503726
64,-11.40923559,-41.0216612
65,-11.6456432,-41.1630017
66,-11.88098483,-41.3084893
67,-12.11535696,-41.45756012
68,-12.34886499,-41.60965949
69,-12.58162054,-41.76424624
70,-12.81373899,-41.92079765
71,-13.04533701,-42.07881487
72,-13.27653028,-42.23782895
73,-13.5074314,-42.39740727
74,-13.73814797,-42.55716026
75,-13.96878091,-42.71674828
76,-14.19942299,-42.87588853
77,-14.43015755,-43.03436177
78,-14.66105744,-43.19201872
79,-14.89218416,-43.3487859
80,-15.12358716,-43.50467087
81,-15.35530329,-43.65976657
82,-15.58735639,-43.81425494
83,-15.81975701,-43.96840944
84,-16.05250227,-44.12259682
85,-16.28557567,-44.27727793
86,-16.51894715,-44.43300798
87,-16.75257311,-44.59043608
88,-16.98639651,-44.75030465
89,-17.22034707,-44.91344871
90,-17.45434149,-45.08079543
91,-17.6882838,-45.25336429
92,-17.92206576,-45.4322682
93,-18.15556742,-45.61871592
94,-18.38865779,-45.8140162
95,-18.62119568,-46.01958418
96,-18.8530307,-46.23695048
97,-19.08400457,-46.46777364
98,-19.31395257,-46.71385672
99,-19.5427053,-46.97716899
100,-19.77009076,-47.25987395
101,-19.99593671,-47.56436548
102,-20.2200733,-47.89331425
103,-20.44233602,-48.2497276
104,-20.662569,-48.63702727
105,-20.88062843,-49.05915113
106,-21.09638629,-49.52068788
107,-21.30973418,-50.02705796
